ds,y,yhat,yhat_lower,yhat_upper,error
2025-12-26 09:00:00,82127.0,78608.54565831713,69499.32903628907,88840.88806123656,3518.4543416828674
2025-12-26 10:00:00,81667.0,79350.94928844796,69285.35260400189,88855.9315303993,2316.050711552045
2025-12-26 11:00:00,77873.0,78597.5893520899,69045.77892351034,87598.7770321046,724.5893520898971
2025-12-26 12:00:00,73529.0,76810.58893839181,68034.19154552332,86793.42328314022,3281.588938391811
2025-12-26 13:00:00,69350.0,75866.85102315746,66649.04210652036,85243.45327314496,6516.851023157462
2025-12-26 14:00:00,71415.0,76179.90054157414,66201.91358915519,86181.6333532468,4764.900541574141
2025-12-26 15:00:00,73551.0,77805.40937101311,68151.34469416313,87743.93518684928,4254.409371013113
2025-12-26 16:00:00,77163.0,80481.77754221142,71000.70562203888,90105.29635488079,3318.777542211421
2025-12-26 17:00:00,81379.0,82428.35145164691,73460.86560429021,91935.32180086176,1049.351451646915
2025-12-26 18:00:00,82377.0,83664.22212153744,73466.30708931651,92819.23539102405,1287.2221215374448
2025-12-26 19:00:00,80277.0,83726.41110804118,73886.5849652783,94090.97984263775,3449.411108041182
2025-12-26 20:00:00,78010.0,83294.7848191813,73994.04298190946,92790.74645510725,5284.7848191812955
2025-12-26 21:00:00,75449.0,81672.11054196712,72425.50973179242,91150.30931189652,6223.110541967122
2025-12-26 22:00:00,72590.0,80090.72914860542,70376.64792233688,89458.49716946279,7500.729148605416
2025-12-26 23:00:00,71940.0,77186.09644558358,67707.47870595701,86303.44117704414,5246.096445583578
2025-12-27 00:00:00,71088.0,74236.75665027114,64707.91586717851,83411.06311078068,3148.7566502711416
2025-12-27 01:00:00,67455.0,71371.24211249646,61385.629560660345,81556.49115073933,3916.2421124964603
2025-12-27 02:00:00,64564.0,68227.10992484888,58166.7212064525,77634.5279544902,3663.1099248488754
2025-12-27 03:00:00,62706.0,65946.0278961596,56423.374539167,75339.18958209717,3240.027896159605
2025-12-27 04:00:00,61780.0,64298.78491471825,55014.85849630708,73618.94935599621,2518.7849147182496
2025-12-27 05:00:00,61529.0,64084.553819306246,54779.50584910194,73727.99567304838,2555.5538193062457
2025-12-27 06:00:00,62297.0,65255.513206096606,55319.57335371471,74562.87200370317,2958.513206096606
2025-12-27 07:00:00,63897.0,67534.2074133881,58133.30570425169,76805.10012275277,3637.207413388096
2025-12-27 08:00:00,65843.0,70622.9486182778,61459.48155711657,79493.01965389085,4779.9486182778055
2025-12-27 09:00:00,66651.0,73237.77143195804,63385.50133530537,82735.45069167568,6586.771431958041
2025-12-27 10:00:00,64784.0,73857.45948331313,64273.87739365969,83696.75569431069,9073.459483313127
2025-12-27 11:00:00,62385.0,73102.21614151113,62880.72479130155,83001.13527105049,10717.216141511133
2025-12-27 12:00:00,60784.0,71235.31008910561,61582.178756796144,80973.36596568821,10451.31008910561
2025-12-27 13:00:00,60022.0,70027.9597553765,59572.10419469223,80465.19207432831,10005.959755376505
2025-12-27 14:00:00,61690.0,70436.12673119735,60866.63434783704,79607.770940754,8746.12673119735
2025-12-27 15:00:00,63673.0,72110.76444730995,62420.673393907724,81871.64714337679,8437.76444730995
2025-12-27 16:00:00,65517.0,74228.7624078752,64408.2650952715,83012.84084065614,8711.762407875198
2025-12-27 17:00:00,67283.0,76457.18210089696,66427.70463000503,85884.47825947429,9174.182100896956
2025-12-27 18:00:00,69079.0,76757.91859900499,67015.84833178729,86947.85832125353,7678.918599004988
2025-12-27 19:00:00,69190.0,76423.57776938328,67029.89280248115,86046.54362488439,7233.577769383279
2025-12-27 20:00:00,68242.0,75442.36644597138,66529.26025270185,84760.60546795282,7200.366445971376
